russian,zilo,gender,abs.pl,obl.sg,obl.pl,loc,GA,pst,imp,pos,transducer_entry,transducer_lexicon_group
брат,воцци,"в, в",воццул,воццув,воццулув,воццуъа,,,,N,,
бровь,энсиб,"б, б",энсибол,энсибулӏи,энсибалӏи,энсибуъа,,,,N,,
вилка,цӏумур,"б, б",цӏумурдул,цӏумурулӏи,цӏумурдалӏи,цӏумуруъа,,,,N,,
вода,лъен,р,,лъенлӏи,,лъенъа,,,,N,,
волк,боцӏо,"б, й",боцӏол,боцӏулӏи,боцӏалӏи,боцӏуъа,,,,N,,
вчера,суни,,,,,,,,,ADV,суни,Adverb_no_class
высокий,беххула,,,,,,"вехула, йехулол",,,ADJ,беххула:еххула,Adjective_class_prefix
глаз,гьаркӏу,"б, б",гьаркӏобил,гьаркӏулолӏи,гьаркӏобалӏи,гьаркӏулоъа,,,,N,,
год,решин,"р, р",решимол,решинлӏи,решималӏол,решинъа,,,,N,,
грудь,абур,"б, б",абурдул,абурдолӏи,абурдалӏи,абурдуъа,,,,N,,
дерево,реша,"р, р",решобил,решулӏи,решобалӏи,решуъа,,,,N,,
дочь,йоши,"й, й",йошибол,йошулӏи,йошибалӏи,йошуъа,,,,N,,
железо,ккуб,б,,ккубиллӏи,,ккубилъа,,,,N,,
желтый,чакку,,,,,,,,,ADJ,чакку,Adjective_no_class
зеленый,хвечи,,,,,,,,,ADJ,хвечи,Adjective_no_class
зеркало,матӏу,"р, р",матӏодул,матӏулӏи,матӏудолӏи,матӏудоъа,,,,N,,
змея,берка,"б, й",беркол,беркулӏи,беркалӏи,беркаъа,,,,N,,
зола,кье,"б, б",кьелил,кьелӏи,кьелилилӏи,кьелӏи,,,,N,,
золото,мисиди,б,,мисидулӏи,,,,,,N,,
камень,гьинцӏо,"б, б",гьинцӏобил,гьинцӏоллӏи,гьинцӏобалӏи,гьинцӏолъа,,,,N,,
кобыла,ича,"б, й",ичил,ичулӏи,ичилӏи,ичуъа,,,,N,,
коса,ничо,"б, б",ничодул,ничолӏи,"ничобалӏи, ничолӏи",ничоъа,,,,N,,
курица,уᵸъецу,"б, й",уᵸъецобил,уᵸъецулӏи,уᵸъецобалӏи,уᵸъецуъа,,,,N,,
курица,уᵸйецу,"б, й",уᵸйецобил,уᵸйецулӏи,уᵸйецобалӏи,уᵸйецуъа,,,,N,,
курица,уᵸвецу,"б, й",уᵸвецобил,уᵸвецулӏи,уᵸвецобалӏи,уᵸвецуъа,,,,N,,
лягушка,къурру,"б, й",къуррол,къурролӏи,къурралӏи,къурроъа,,,,N,,
мать,баба,"й, й",бабалал,бабалӏи,бабалӏол,бабаъа,,,,N,,
мать,ила,"й, й",илобил,илулӏи,илубалӏи,,,,,N,,
мука,эншур,р,,эншурлӏи,,эншуръа,,,,N,,
мясо,рикьи,"р, р",рикьил,рикьилӏи,рикьилилӏи,рикьиъа,,,,N,,
небо,решин,"р, р",решимол,решинолӏи,решималӏи,решиноъа,,,,N,,
новый,цӏиᵸву,,,,,,,,,ADJ,цӏиᵸву,Adjective_no_class
нож,бесун,"б, б",бесумол,бесунолӏи,бесумалӏи,бесуноъа,,,,N,,
окно,ингур,"б, б",ингурдол,ингурулӏи,ингурдалӏи,ингоруъа,,,,N,,
отец,дада,"в, в",дадалал,дадав,дадалав,дадаъа,,,,N,дада<obl>:дада,
отец,има,"в, в",имадул,имув,имадав,имуъа,,,,N,има<obl>:иму,
очень,золо,,,,,,,,,ADV,золо,Adverb_no_class
палец,цӏцӏекӏа,"б, б",цӏцӏекӏобил,цӏцӏекӏулӏи,цӏцӏекӏобалӏи,цӏцӏекӏуъа,,,,N,,
пила,хъухъадир,"б, б",хъухъадирол,хъухъадирулӏи,хъухъадиролӏол,,,,,N,,
птица,щекиб,"б, й",щекибол,щекиболӏи,щекиболилӏол,,,,,N,,
пчела,пера,"б, й",пердул,перулӏи,пердалӏол,,,,,N,,
пшеница,къири,б,,къирилӏи,,,,,,N,,
река,лъенсо,"р, р",лъенсодул,лъенсолӏи,лъенсодалӏи,,,,,N,,
река,инхи,"б, б",инхадул,инхилӏи,инхадалӏи,инхиъа,,,,N,,
рыба,хвами,"б, й",хвамил,хвамиллӏи,хвамилилӏи,,,,,N,,
свинец,тӏуши,"б, б",тӏушил,тӏушиллӏи,тӏушилилӏи,,,,,N,,
сегодня,желъал,,,,,,,,,ADV,желъал,Adverb_no_class
сегодня,жегьал,,,,,,,,,ADV,жегьал,Adverb_no_class
серп,ничо,"б, б",ничодул,ничолӏи,ничодалӏи,,,,,N,,
сестра,йоцци,"й, й",йоцибол,йоццулӏи,йоццибалӏи,,,,,N,,
слепой,ботӏи,,,,,,,,,ADJ,ботӏи,Adjective_no_class
снег,анзи,"р, р",анзил,анзилӏи,анзилилӏи,анзиъа,,,,N,,
собака,хвей,"б, й",хведул,хвейолӏи,хведалӏи,,,,,N,,
солнце,милъи,"б, б",милъил,милъирлӏи,милъилилӏи,,,,,N,,
стена,къен,"б, б",къенадул,къеннолӏи,къеннадалӏи,къенноъа,,,,N,,
толстый,биши,,,,,,"вуши, биши, йиши, вушол, йишол",,,ADJ,биши:ши,Adjective_class_prefix_i_u
топор,анжиди,"р, р",анжидобил,анжидулӏи,анжидобалӏи,,,,,N,,
узкий,чӏчӏитӏир,,,,,,,,,ADJ,чӏчӏитӏир,Adjective_no_class
хлеб,гъан,"б, б",гъанол,гъанлӏи,,,,,,N,,
черный,бечӏедир,,,,,,"вечӏедир, йечӏедирол",,,ADJ,бечӏедир:ечӏедир,Adjective_class_prefix
шея,гару,"б, б",гардобил,гардолӏи,гардобалӏи,,,,,N,,
широкий,аб,,,,,,,,,ADJ,аб[b],Adjective_no_class
яйцо,кӏоркӏон,"р, р",кӏоркӏомил,кӏоркӏонулӏи,кӏоркӏомалӏи,,,,,N,,
баран,гьайман,"б, й",гьайманол,гьайманулӏи,гьайманалӏи,,,,,N,,
баран,кун,"б, й",куммил,кунолӏи,куммалӏи,,,,,N,,
баран,анлъи,"б, й",анлъол,анлъолӏи,анлъалӏи,,,,,N,,
браслет,кверкъин,"р, р",кверкъимол,кверкъинулӏи,кверкъималӏи,,,,,N,,
бревно,кьерчӏо,"р, р",кьерчӏобил,кьерчӏолӏи,кьерчӏобалӏи,,,,,N,,
бурдюк,кьетон,"б, б",кьетомил,кьетонлӏи,кьетомалӏи,,,,,N,,
бурка,буртина,"б, б",буртимобил,буртинулӏи,буртималӏи,,,,,N,,
веретено,мига,"б, б",мигобил,мигулӏи,мигобалӏи,,,,,N,,
весна,рибу,"б, б",рибодул,риблӏи,рибодалӏи,,,,,N,,
ветер,мочи,"б, б",мочил,мочилӏи,мочилилӏи,,,,,N,,
внизу,гьикьу,,,,,,,,,ADV,гьикьу,Adverb_no_class
впереди,сседу,,,,,,,,,ADV,сседу,Adverb_no_class
вымя,гъа,"б, б",гъадобил,гъалӏи,гъадобалӏи,,,,,N,,
глотать,бикӏкӏунну,,,,,,,бикӏкӏун,бикӏкӏон,V,"бикӏкӏунну<V>:бикӏкӏу[nasal,transitive]",Verb
глубокий,уди,,,,,,,,,ADJ,уди,Adjective_no_class
голубь,гъугъу,"б, й",гъугъол,гъугъулӏи,гъугъобалӏи,,,,,N,,
гора,бил,"б, б",биладул,билолӏи,биладалӏи,билоъа,,,,N,,
горло,къванкъва,"б, б",къванкъибол,къванкъулӏи,къванкъибалӏи,,,,,N,,
грабли,лъарлъал,"б, б",лъарлъалол,лъарлъалулӏи,лъарлъалалӏи,,,,,N,,
град,шен,р,,шенлӏи,,,,,,N,,
грязный,чуруки,,,,,,,,,ADJ,чуруки,Adjective_no_class
день,зубу,"р, р",зубодул,зубулӏи,зубодалӏи,,,,,N,,
длинный,беххула,,,,,,"йеххула, беххула, реххула, веххула, веххулол, йеххулол",,,ADJ,беххула:еххула,Adjective_class_prefix
дно,гьимъу,"б, б",гьимъодул,гьимъулӏи,гьимъодалӏи,гьимуъулъа,,,,N,,
доска,хин,"р, р",химмил,химлӏи,химмалӏи,,,,,N,,
жечь,цӏатери,,,,,,,цӏато,цӏато,V,"цӏатери<V>:цӏат[thematic-i,transitive]",Verb
желчь,ссим,"б, б",ссимил,ссимлӏи,ссималӏи,,,,,N,,
женщина,йошикӏва,"й, й",йошул,йошикӏваллӏи,йошулилӏи,,,,,N,,
жеребец,чор,"б, й",чордул,чорлӏи,чордалӏи,,,,,N,,
жидкий,лъему,,,,,,,,,ADJ,лъему,Adjective_no_class
здесь,гьонолъу,,,,,,,,,ADV,гьонолъу,Adverb_no_class
зима,кьину,"р, р",кьинодул,кьинлӏи,кьинодалӏи,,,,,N,,
иней,цӏцӏикъу,б,,цӏцӏикъулӏи,,,,,,N,,
искать,кустери,,,,,,,кусти,кусто,V,"кустери<V>:куст[thematic-i,transitive]",Verb
кашлять,ухӏудери,,,,,,,ухӏуди,ухӏудиб,V,ухӏудери<V>:ухӏуд[thematic-i],Verb
капкан,гудур,"б, б",гудурдул,гудуролӏи,гудуралӏи,,,,,N,,
кизяк,цӏипӏила,"б, б",цӏипӏилдул,цӏипӏилулӏи,цӏипӏилдалӏи,,,,,N,,
кипеть,оххинну,,,,,,,оххон,оххом,V,"оххинну<V>:охх[nasal,npst-i]",Verb
кислый,цӏцӏикӏкӏу,,,,,,,,,ADJ,цӏцӏикӏкӏу,Adjective_no_class
клин,лӏутӏи,"б, б",лӏутӏол,лӏутӏолӏи,лӏутӏалӏи,,,,,N,,
клык,гожо,"б, б",гожолол,гожолӏи,гожолалӏи,,,,,N,,
ключ,рекӏул,"р, р",рекӏулол,рекӏулолӏи,рекӏулалӏи,,,,,N,,
клятва,ноко,"р, р",нокол,нокулӏи,нокодалӏи,,,,,N,,
ковер,тӏамсса,"б, б",тӏамсибол,тӏамсулӏи,тӏамсибалӏи,,,,,N,,
козел,тӏука,"б, й",тӏукибол,тӏукулӏи,тӏукибалӏи,,,,,N,,
колено,нико,"б, б",никобил,николӏи,никобалӏи,,,,,N,,
колесо,чӏуреги,"р, р",чӏурегобил,чӏурегулӏи,чӏурегобалӏи,,,,,N,,
корзина,гиза,"б, б",гизобил,гизулӏи,гизобалӏи,,,,,N,,
корыто,ирса,"р, р",ирсибол,ирсулӏи,ирсибалӏи,,,,,N,,
косить,хханнери,,,,,,,хханни,хханно,V,"хханнери<V>:хханн[thematic-i,transitive]",Verb
край,рагьал,"б, б",рагьалол,рагьаллӏи,рагьалалӏи,,,,,N,,
крапива,мичӏчӏи,"б, б",мичӏчӏил,мичӏчӏилӏи,мичӏчӏилалӏи,,,,,N,,
кривой,чӏило,,,,,чӏилол,,,,ADJ,чӏило,Adjective_no_class
кроить,букъери,,,,,,,букъи,букъо,V,"букъери<V>:букъ[thematic-i,transitive]",Verb
кривой,гъвенчӏил,,,,,гъвенчӏилол,,,,ADJ,гъвенчӏил,Adjective_no_class
кровь,гьин,"б, б",гьимил,гьинлӏи,,,,,,N,,
крыша,ом,"б, б",омадул,омлӏи,омадалӏи,омъа,,,,N,,
лаять,бахери,,,,,,,бахо,бахоб,V,бахери<V>:бах[thematic-o],Verb
лаять,хӏапунну,,,,,,,хӏапун,хӏапум,V,хӏапунну<V>:хӏапу[nasal],Verb
ладонь,хъота,"р, р",хъотобил,хъотулӏи,хъотобалӏи,хъотула,,,,N,,
левый,кучӏил,,,,,,,,,ADJ,кучӏил,Adjective_no_class
лизать,ламмери,,,,,,,ламми,ламмо,V,"ламмери<V>:ламм[thematic-i,transitive]",Verb
лес,решу,р,,решулӏи,,,,,,N,,
лето,къину,р,,къинлӏи,,къина,,,,N,,
ложка,арком,"б, б",аркомил,аркомулӏи,аркомалӏи,,,,,N,,
лук (растение),кӏонча,"б, б",кӏончол,кӏончулӏи,кӏончалӏи,,,,,N,,
лук (оружие),церцедахъи,"б, б",церцедахъол,церцедахъилӏи,церцедахъалӏи,,,,,N,,
много (неисчисляемые),бигьугу,,,,,,"бигьугу, ригьугу",,,ADV,бигьугу:гьугу,Adverb_class_prefix_i_u
много,бигьолгу,,,,,,"ригьолгу, вугьолгу, йигьолгу",,,ADV,бигьолгу:гьолгу,Adverb_class_prefix_i_u
молодой,олохъан,,,,,,,,,ADJ,олохъан,Adjective_no_class
молозиво,цӏцӏир,"б, б",цӏцӏирил,цӏцӏирлӏи,цӏцӏирилилӏи,,,,,N,,
моль,реси,б,,ресилӏи,,,,,,N,,
море,релъо,"р, р",релъобил,релъолӏи,релъобалӏи,,,,,N,,
мяукать,маъушери,,,,,,,маъушо,маъушо,V,"маъушери<V>:маъуш[thematic-i,transitive]",Verb
мост,кьир,"б, б",кьирдобил,кьирлӏи,кьирдобалӏи,,,,,N,,
моча,гьинкӏкӏур,"р, р",гьинкӏкӏурдул,гьинкӏкӏурлӏи,гьинкӏкӏурдалӏи,,,,,N,,
неделя,гьокьу,"р, р",гьокьодул,гьокьулӏи,гьокьодалӏи,,,,,N,,
низкий (скорее о вещах),кьухъур,,,,,,,,,ADJ,кьухъур,Adjective_no_class
низкий (скорее о живых),бочо,,,,,,"йочо, бочо, рочо, вочол, йочол, бочол",,,ADJ,бочо:очо,Adjective_class_prefix
нога,чункӏа,"б, б",чункӏобил,чункӏулӏи,чункӏобалӏи,,,,,N,,
нога,регъил,"б, б",регъибол,регъилолӏи,регъибалӏи,,,,,N,,
ножницы,исир,"р, р",исирдул,исиролӏи,исирдалӏи,,,,,N,,
нос,магьар,"б, б",магьардул,магьаролӏи,магьардалӏи,,,,,N,,
ночь,релъо,"р, р",релъодул,релъоллӏи,релъодалӏи,,,,,N,,
ночью,гьечӏодоъо,,,,,,,,,ADV,гьечӏодоъо,Adverb_no_class
осень,сибиру,"р, р",сибирдул,сибирулӏи,сибирдалӏи,,,,,N,,
очаг,ахъи,"б, б",ахъил,ахъилӏи,ахъилилӏи,ахъиха,,,,N,,
палка,цӏул,"р, р",цӏулибол,цӏулолӏи,цӏулибалӏи,,,,,N,,
паук,мисихвара,"б, й",мисихвардул,мисихварулӏи,мисихвардалӏи,,,,,N,,
писать,хъварери,,,,,,,хъвари,хъваро,V,"хъварери<V>:хъвар[thematic-i,transitive]",Verb
песок,сур,б,,сурлӏи,,,,,,N,,
подбородок,жуна,"р, р",жунал,,жуналлӏи,,,,,N,,
подкова,лъол,"р, р",лъолибол,лъолулӏи,лъолибалӏи,,,,,N,,
радоваться,бергьинну,,,,,,"вергьан, йергьан, йергьамол",вергьан,вергьам,V,бергьинну<V>:ергьа[nasal],Verb_class_prefix
почка,кӏкӏуну,"р, р",кӏкӏунибол,кӏкӏунулӏи,кӏкӏунибалӏи,,,,,N,,
пуговица,миргъал,"б, б",миргъалол,миргъалулӏи,миргъалалӏи,,,,,N,,
рана,ругъун,"р, р",ругъумол,ругъунулӏи,ругъумалӏи,,,,,N,,
рог,"ъвен, гъвен","б, б",ъвенол,ъвенулӏи,ъвенолилӏи,,,,,N,,
роса,щиб,б,,щиболӏи,,,,,,N,,
рубашка,гурдо,"р, р",гурдибол,гурдилӏи,гурдибалӏи,,,,,N,,
рукав,квелъир,"б, б",квелъирдул,квелъиролӏи,квелъирдалӏи,,,,,N,,
свадьба,бертин,"б, б",бертимол,бертинулӏи,бертималӏи,,,,,N,,
сено,гьунчӏа,"р, р",гьунчӏол,гьунчӏорлӏи,гьунчӏолилӏи,,,,,N,,
сердце,рокӏо,"р, р",рокӏол,рокӏоллӏи,рокӏолилӏи,,,,,N,,
серебро,орси,б,,орсилӏи,,,,,,N,,
скрипеть,зиркъунну,,,,,,,зиркъун,зиркъум,V,зиркъунну<V>:зиркъу[nasal],Verb
скрипеть,къиркъидери,,,,,,,къиркъиди,къиркъидиб,V,къиркъидери<V>:къиркъид[thematic-i],Verb
сказка,муха,"б, б",мухал,мухалӏи,мухалилӏи,,,,,N,,
слива,коком,"б, б",кокомил,кокомулӏи,кокомалӏи,,,,,N,,
смеяться,белълъери,,,,,,велълъери,велълъи,велълъиб,V,белълъери<V>:елълъ[thematic-i],Verb_class_prefix
солома,ситӏа,б,,ситӏалӏи,,,,,,N,,
сорока,чаргъитӏи,"б, й",чаргъитӏол,чаргъитӏулӏи,чаргъитӏобалӏи,,,,,N,,
спина,мигъул,"б, б",мигъулол,мигъулолӏи,,,,,,N,,
стрелять,кьвагьуноллу,,,,,,,кьвагьунолъи,кьвагьунолло,V,кьвагьуноллу<V>:кьвагьун[causative],Verb
старый,бохор,,,,,,"йохор, вохор, йохорол, вохорол",,,ADJ,бохор:охор,Adjective_class_prefix
сыворотка,эрцӏцӏи,"р, р",эрцӏцӏил,эрцӏцӏилӏи,эрцӏцӏилилӏи,,,,,N,,
танец,лӏибдир,б,,лӏибдирлӏи,,,,,,N,,
тело,черхи,"б, б",черхил,черхилӏи,черхилилӏи,,,,,N,,
тень,анччу,"б, б",анччодул,анччулӏи,анччодалӏи,,,,,N,,
теплый,унсса,,,,,,,,,ADJ,унсса,Adjective_no_class
тесто,гьатӏи,б,,гьатӏилӏи,,,,,,N,,
ткать,бещери,,,,,,,бещи,бещо,V,"бещери<V>:бещ[thematic-i,transitive]",Verb
тянуть,кьаннери,,,,,,,кьанни,кьанно,V,"кьаннери<V>:кьанн[thematic-i,transitive]",Verb
туша,къулийеб,"б, б",къулийебол,къулибулӏи,къулийебалӏи,,,,,N,,
уголь,гьабу,"б, б",гьабодул,гьабулӏи,гьабудалӏи,,,,,N,,
хвост,могъорчӏу,"б, б",могъорчӏобил,могъорчӏулӏи,могъорчӏобалӏи,,,,,N,,
хлев,бекьи,"б, б",бекьадул,бекьилӏи,бекьадалӏи,бекьу,,,,N,,
хромой,рекъу,,,,,,,,,ADJ,рекъу,Adjective_no_class
цветок,джинджи,"р, р",джинджил,джинджилӏи,джинджилилӏи,,,,,N,,
читать,баъери,,,,,,,баъи,баъо,V,"баъери<V>:баъ[thematic-i,transitive]",Verb
чесать,хъеллери,,,,,,,хъелли,хъелло,V,"хъеллери<V>:хъелл[thematic-i,transitive]",Verb
чеснок,ражи,б,,ражилӏи,,,,,,N,берцӏцӏом:ерцӏцӏом,Adjective_class_prefix
чистый,берцӏцӏом,,,,,,"берцӏцӏом, верцӏцӏом, йерцӏцӏомол",,,ADJ,,
шило,гьиму,"р, р",гьимодул,гьимодулӏи,гьимодалӏи,,,,,N,,
шумовка,хинкӏилахом,"б, б",хинкӏилахомил,хинкӏилахомалӏи,хинкӏилахомалӏи,,,,,N,,
щека,гверзу,"б, б",гверзобил,гверзуллӏи,гверзобалӏи,,,,,N,,
щенок,кӏунцӏцӏи,"б, й",кӏунцӏцӏол,кӏунцӏцӏолӏи,кӏунцӏцӏалӏи,,,,,N,,
яблоко,инчи,"б, б",инчил,инчиллӏи,инчилилӏи,,,,,N,,
яма,дунгил,"б, б",дунгилол,дунгилулӏи,дунгилалӏи,,,,,N,,
ячмень,бурчӏина,"б, б",бурчӏинол,бурчӏинулӏи,бурчӏинобалӏи,,,,,N,,
ящерица,кьерчин,"б, й",кьерчимол,кьерчимулӏи,кьерчималӏи,,,,,N,,
блоха,чӏонни,"б, й",чӏоннол,чӏоннулӏи,чӏонналӏи,,,,,N,,
большой,бечӏуха,,,,,,"бечӏуха, вечӏуха, йечӏуха, йечӏухол",,,ADJ,бечӏуха:ечӏуха,Adjective_class_prefix
вошь,ноцӏцӏи,"б, й",ноцӏцӏол,ноцӏцӏулӏи,ноцӏцӏалӏи,,,,,N,,
гвоздь,гьанкӏо,"б, б",гьанкӏодул,гьанкӏоллӏи,гьанкӏодалӏи,,,,,N,,
голова,мийар,"р, р",мийардул,мийарулӏи,мийардалӏи,,,,,N,,
груша,гьиᵸгьиᵸ,"б, б",гьиᵸгьиᵸл,гьиᵸгьиᵸлӏи,гьиᵸгьиᵸлилӏи,,,,,N,,
дождь,цӏцӏа,"р, р",цӏцӏалил,цӏцӏалӏи,цӏцӏалилилӏи,,,,,N,,
дорога,микъи,"б, б",микъадул,микъилӏи,микъадалӏи,"микъабо, микъаво, микъайо, микъавол, микъайол",,,,N,,
дым,кӏвей,"б, б",кӏвейадул,кӏвейлӏи,кӏвейадалӏи,,,,,N,,
звезда,цӏцӏа,"р, р",цӏцӏалил,цӏцӏалилӏи,цӏцӏалилилӏи,,,,,N,,
звезда,цӏцӏва,"р, р",цӏцӏвалил,цӏцӏвалилӏи,цӏцӏвалилилӏи,,,,,N,,
зуб,сол,"р, р",солибол,солуллӏи,солибалӏи,,,,,N,,
кинжал,хъанжар,"б, б",хъанжардул,хъанжарулӏи,хъанжардалӏи,,,,,N,,
коза,цӏцӏиᵸйаᵸ,"б, й",цӏцӏеᵸнил,цӏцӏиᵸйоᵸлӏи,цӏцӏеᵸнилӏи,,,,,N,,
кольцо,цӏцӏекӏалъол,"р, р",цӏцӏекӏалъолол,цӏцӏекӏалъолулӏи,цӏцӏекӏалъолалӏи,,,,,N,,
корова,зиᵸвуᵸ,"б, й",зиᵸнол,зиᵸвуᵸлӏи,зиᵸналӏи,,,,,N,,
корова,зиᵸв,"б, й",зиᵸнол,зиᵸвуᵸлӏи,зиᵸналӏи,,,,,N,,
короткий,бочо,,,,,,"йочо, вочо, рочо, вочол, йочол, бочол",,,ADJ,бочо:очо,Adjective_class_prefix
красный,гьири,,,,,,,,,ADJ,гьири,Adjective_no_class
лоб,гьонно,"р, р",гьоннодул,гьонноллӏи,гьоннодалӏи,гьонноллуъа,,,,N,,
медведь,сеᵸй,"б, й",сеᵸйил,сеᵸйолӏи,сеᵸйилилӏи,,,,,N,,
молоко,щиᵸв,"р, р",щиᵸвол,щиᵸвулӏи,щиᵸводалӏи,щиᵸвулӏи,,,,N,,
молоток,куртӏа,"р, р",куртӏибол,куртӏулӏи,куртӏибалӏи,,,,,N,,
муха,тӏентӏа,"б, й",тӏентӏол,тӏентӏулӏи,тӏентӏалӏи,,,,,N,,
мышь,гьинкӏкӏу,"б, й",гьинкӏкӏол,гьинкӏкӏулӏи,гьинкӏкӏвалӏи,,,,,N,,
огонь,цӏа,"р, р",цӏалил,цӏалӏи,цӏалилилӏи,цӏалӏи,,,,N,,
олень,ритӏучӏи,"б, й",ритӏучӏол,ритӏучӏулӏи,ритӏучӏалӏи,,,,,N,,
осел,гьаморхи,"б, й",гьаморхол,гьаморхулӏи,гьаморхалӏи,,,,,N,,
петух,хӏелеко,"б, й",хӏелекобил,хӏелеколӏи,хӏелекобалӏи,,,,,N,,
пустой,бечӏугу,,,,,,"бечӏугу, речӏугу",,,ADJ,бечӏугу:ечӏугу,Adjective_class_prefix
сабля,хвалчен,"р, р",хвалчемил,хвалченулӏи,хвалчемалӏи,,,,,N,,
сани,чанагъи,"р, р",чанагъобил,чанагъулӏи,чанагъобалӏи,чанагъуъа,,,,N,,
синий,хвечи,,,,,,,,,ADJ,хвечи,Adjective_no_class
сундук,гъвамарссу,"р, р",гъвамарссол,гъвамарссулӏи,гъвамарссобалӏи,гъвамарссула,,,,N,,
сын,вошо,"в, в",вошул,вошув,вошулув,,,,,N,вошо<obl>:вошу,
ухо,гьантӏикӏа,"б, б",гьантӏикӏобил,гьантӏикӏулӏи,гьантӏикӏобалӏи,,,,,N,,
худой,хъелла,,,,,,,,,ADJ,хъелла,Adjective_no_class
язык,мицӏцӏи,"б, б",мицӏцӏил,мицӏцӏилӏи,мицӏцӏибалӏи,,,,,N,,
печь,пещи,"б, б",пещил,пещиллӏи,пещилилӏи,пещилха,,,,N,,
печь,ахъи,б,ахъил,ахъилӏи,ахъилилӏи,,,,,N,,
печь (глагол),бежери,,,,,,,бежа,бежо,V,"бежери<V>:беж[thematic-a,transitive]",Verb
барабан,къали,"б, б",къалил,къалилӏи,къалилилӏи,,,,,N,,
бедный,бискин,,,,,,,,,ADJ,бискин,Adjective_no_class
беременная,гьанъо,,,,,,,,,ADJ,гьанъо,Adjective_no_class
бумага,кагъар,"р, р",кагъардул,кагъарулӏи,кагъардалӏи,,,,,N,,
бычок,къинком,"б, й",къинкомил,къинкомулӏи,къинкомалӏи,,,,,N,,
вдова,серо,,серол,сероллӏи,серолилӏи,,,,,N,,
вдовец,серо,,серол,сероллӏи,серолилӏи,,,,,N,,
верблюд,гъварани,"б, й",гъваранобил,гъваранулӏи,гъваранобалӏи,,,,,N,,
ворота,кав,"б, б",каводул,кавдолӏи,каводалӏи,кавдоха,,,,N,,
восемь,бейкьигу,,,,,,,,,NUM,,
воск,щир,"б, б",щирдул,щирлӏи,щирдалӏи,,,,,N,,
второй,чӏелдеб,,,,,,чӏелдебул,,,NUM,,
вы,биссил,,,,,,,,,PRON,,
глина,чӏабар,"б, б",чӏабардул,чӏабарлӏи,чӏабардалӏи,,,,,N,,
глупый,тохи,,,,,,,,,ADJ,тохи,Adjective_no_class
гореть,лапешери,,,,,,,лапешо,,V,,Verb
гореть,цӏатери,,,,,,,цӏато,цӏатоб,V,цӏатери<V>:цӏат[thematic-o],Verb
гнида,тӏана,"б, й",тӏанол,тӏанулӏи,тӏанолилӏи,,,,,N,,
город,шагьар,"б, б",шагьардул,шагьарулӏи,шагьардалӏи,шагьаруъа,,,,N,,
